,Card Name,Minimum Salaried Income,Minimum ITR for Self Employed,Joining Fee,Renewal Fee,Best Suited For,Reward Type,Welcome Benefits,Bank Name,shopping,travel,dining,movies,fuel,food,bill payment,stays,business expenses,annual fee waiver,welcome scores
0,American Express Membership Rewards Credit Card,600000,600000,1000,4500,shopping,Reward Points,"Welcome benefit of 4,000 Bonus Membership RPs can be availed on settling the joining fee of Rs. 1,000 and spending of Rs 15,000 within the first 90 days of the card issuance.",American Express,1,0,0,0,0,0,0,0,0,150000,2
1,American Express SmartEarn Credit Card,450000,600000,495,495,shopping,Reward Points,"Cashback of ₹500 and 4,000 Referral Bonus Membership Rewards Points",American Express,1,0,0,0,0,0,0,0,0,40000,2
2,American Express Gold Charge Card,600000,600000,1000,4500,travel | shopping,Reward Points,"4,000 Bonus Membership Rewards Points + 4,000 Referral Bonus Membership Rewards Points (Limited Time Offer)",American Express,1,1,0,0,0,0,0,0,0,inf,4
3,American Express Platinum Travel Credit Card,600000,600000,5000,5000,travel | shopping,Reward Points,"10,000 Membership Rewards Points",American Express,1,1,0,0,0,0,0,0,0,inf,4
4,American Express Platinum Reserve Credit Card,1500000,1500000,10000,10000,travel | dining | shopping,Reward Points,"11,000 bonus Membership Rewards Points on a minimum expenditure of Rs. 30,000 within 90 days of card issuance.",American Express,1,1,1,0,0,0,0,0,0,inf,4
5,American Express Platinum Charge Card,2500000,1500000,66000,66000,travel | shopping,Reward Points,"Vouchers Worth ₹60,000 of Taj Hotels, Luxe Gift Card, and The Postcard Hotels & Resorts",American Express,1,1,0,0,0,0,0,0,0,inf,10
6,AU Bank LIT Credit Card,0,0,0,0,movies | travel | dining | fuel | shopping,Reward Points,,AU Bank,1,1,1,1,1,0,0,0,0,0,0
7,AU Altura Plus Credit Card,0,0,499,499,shopping,Reward Points,,AU Bank,1,0,0,0,0,0,0,0,0,80000,0
8,AU Altura Credit Card,0,0,199,199,shopping,Cashback,,AU Bank,1,0,0,0,0,0,0,0,0,40000,0
9,AU Zenith+ Credit Card,3000000,3000000,4999,4999,travel | dining | shopping,Reward Points,"Luxury Gift Vouchers or Reward Points Worth ₹5,000",AU Bank,1,1,1,0,0,0,0,0,0,800000,5
10,ixigo AU Credit Card,0,0,0,0,travel,Reward Points,1000 RPs and Rs. 1000 ixigo Money Voucher on First Transaction Within 30 days of Card Issuance,AU Bank,0,1,0,0,0,0,0,0,0,0,4
11,AU Vetta Credit Card,0,0,2999,2999,travel | shopping,Reward Points,,AU Bank,1,1,0,0,0,0,0,0,0,150000,0
12,AU Spont Credit Card,0,0,299,299,shopping,Cashback,,AU Bank,1,0,0,0,0,0,0,0,0,inf,0
13,AU Bank Xcite Ace Credit Card,0,0,0,0,shopping,Reward Points,,AU Bank,1,0,0,0,0,0,0,0,0,0,0
14,AU Bank Xcite Credit Card,0,0,0,0,shopping,Reward Points,,AU Bank,1,0,0,0,0,0,0,0,0,0,0
15,AU Bank Xcite Ultra Credit Card,0,0,0,0,travel | shopping,Reward Points,,AU Bank,1,1,0,0,0,0,0,0,0,0,0
16,Aditya Birla AU Bank Credit Cards,0,0,0,0,travel | dining | shopping | business expenses,Reward Points,"Up to 1,000 Reward Points",AU Bank,1,1,1,0,0,0,0,0,1,0,1
17,AU Zenith Credit Card,0,0,7999,7999,travel | dining | shopping,Reward Points,"Rs. 1,000 worth of Vouchers after the first POS transaction, 10,000 Bonus RPs on spending Rs. 1 Lakh. Each welcome benefit would be applicable for retail spends made within sixty of card set-up.",AU Bank,1,1,1,0,0,0,0,0,0,500000,4
18,Flipkart Axis Bank Credit Card,180000,180000,500,500,shopping,Cashback,Introductory Benefits Worth Rs. 600 on Card Issuance,Axis Bank,1,0,0,0,0,0,0,0,0,350000,1
19,Axis My Zone Credit Card,600000,600000,500,500,movies | shopping | food,Reward Points,"Free SonyLiv Subscription Worth ₹1,499",Axis Bank,1,0,0,1,0,1,0,0,0,inf,2
20,IndianOil Axis Bank RuPay Credit Card,600000,600000,500,500,fuel | shopping,Reward Points,"1,250 EDGE Reward Points Worth ₹250",Axis Bank,1,0,0,0,1,0,0,0,0,350000,1
21,Airtel Axis Bank Credit Card,450000,450000,500,500,food | bill payment,Cashback,Amazon Voucher Worth Rs. 500,Axis Bank,0,0,0,0,0,1,1,0,0,200000,1
22,Axis Bank Neo Credit Card,600000,600000,250,250,shopping | food,Reward Points,Get 100% cashback up to Rs. 300 on your first utility bill payment within 30 days of getting the card.,Axis Bank,1,0,0,0,0,1,0,0,0,inf,1
23,IndianOil Axis Bank Premium Credit Card,600000,600000,1000,1000,fuel,Reward Points,500 EDGE Miles on the First Transaction Within 30 Days of Card Issuance,Axis Bank,0,0,0,0,1,0,0,0,0,30000,1
24,Axis Bank ACE Credit Card,600000,600000,0,499,bill payment,Cashback,,Axis Bank,0,0,0,0,0,0,1,0,0,200000,0
25,Axis Bank SELECT Credit Card,900000,900000,3000,3000,travel | shopping,Reward Points,"10,000 EDGE Reward Points (Worth ₹2,000) on First Transaction",Axis Bank,1,1,0,0,0,0,0,0,0,800000,4
26,Axis Bank Atlas Credit Card,900000,900000,5000,5000,travel,Reward Points,"2,500 Edge Miles on Completing 1 Transaction Within 30 Days of Card Issuance",Axis Bank,0,1,0,0,0,0,0,0,0,inf,1
27,Axis Bank Privilege Credit Card,600000,600000,1500,1500,travel | shopping,Reward Points,"12,500 EDGE Reward Points Worth ₹2,500",Axis Bank,1,1,0,0,0,0,0,0,0,500000,4
28,Axis Bank Rewards Credit Card,0,0,1000,1000,dining | shopping,Reward Points,5000 EDGE reward points on spending Rs. 1000 and above within 30 days of card activation,Axis Bank,1,0,1,0,0,0,0,0,0,200000,2
29,Axis Bank Olympus Credit Card,600000,600000,20000,20000,movies | travel | shopping,Reward Points,"2,500 EDGE Miles and Taj/ITC Hotel Vouchers Worth ₹10,000",Axis Bank,1,1,0,1,0,0,0,0,0,inf,7
30,Axis Bank Magnus Credit Card,1800000,1800000,12500,12500,travel | dining | shopping,Reward Points,"Choose a gift voucher worth Rs. 12,500 from any one of Luxe, Yatra, or Postcard Hotels",Axis Bank,1,1,1,0,0,0,0,0,0,2500000,8
31,Axis Bank Reserve Credit Card,600000,600000,50000,50000,movies | travel | dining | shopping,Reward Points,"50,000 Edge Reward Points on Card Activation",Axis Bank,1,1,1,1,0,0,0,0,0,3500000,8
32,Axis Bank Primus Credit Card,0,0,180000,180000,travel | fuel | shopping,Reward Points,"25,000 Axis EDGE Miles OR Rs 40,000 Gift Card from ITC Hotels",Axis Bank,1,1,0,0,1,0,0,0,0,inf,10
33,Axis Bank AURA Credit Card,600000,600000,749,749,shopping,Reward Points,A Decathlon voucher worth Rs. 750.,Axis Bank,1,0,0,0,0,0,0,0,0,inf,1
34,Samsung Axis Bank Infinite Credit Card,0,0,5000,5000,travel | shopping,Reward Points | Cashback,"30,000 EDGE Reward Points",Axis Bank,1,1,0,0,0,0,0,0,0,700000,6
35,Samsung Axis Bank Signature Credit Card,0,0,500,500,shopping,Reward Points | Cashback,"2,500 bonus Edge Rewards on making at least 3 transactions within the first 30 days of card issuance.",Axis Bank,1,0,0,0,0,0,0,0,0,200000,1
36,Axis Bank Horizon Credit Card,0,0,3000,3000,travel,Reward Points,"5000 EDGE Miles on Spends of ₹1,000 Within the First 30 Days of Card Issuance",Axis Bank,0,1,0,0,0,0,0,0,0,inf,2
37,Axis Bank Cashback Credit Card,0,0,1000,1000,shopping,Cashback,"5,000 EDGE Reward Points on Making the First Transaction Within 30 Days",Axis Bank,1,0,0,0,0,0,0,0,0,400000,2
38,Axis Bank KWIK RuPay Credit Card,0,0,0,0,shopping,Reward Points,,Axis Bank,1,0,0,0,0,0,0,0,0,0,0
39,Axis Bank Shoppers Stop Credit Card,0,0,500,500,shopping,Reward Points,"First Citizen Reward Points Worth ₹300, Shoppers Stop Vouchers Worth ₹2,250, and Complimentary Shoppers Stop Golden Glow Membership",Axis Bank,1,0,0,0,0,0,0,0,0,100000,4
40,Fibe Axis Bank RuPay Credit Card,0,0,0,0,shopping,Cashback,,Axis Bank,1,0,0,0,0,0,0,0,0,0,0
41,Axis Bank Freecharge Plus Credit Card,600000,600000,350,350,shopping,Cashback,,Axis Bank,1,0,0,0,0,0,0,0,0,50000,0
42,IKEA Family Credit Card by Axis Bank,0,0,0,0,shopping,Reward Points,,Axis Bank,1,0,0,0,0,0,0,0,0,0,0
43,Axis Bank Freecharge Credit Card,0,0,250,250,shopping,Reward Points,,Axis Bank,1,0,0,0,0,0,0,0,0,inf,0
44,Axis Bank Miles & More Select Credit Card,0,0,10000,4500,travel,Reward Points,"15,000 miles on Axis Bank Miles & More Select Credit Card and 5,000 miles on Axis Bank Miles & More World Credit Card",Axis Bank,0,1,0,0,0,0,0,0,0,inf,5
45,Axis Bank Flipkart Super Elite Credit Card,180000,180000,500,500,shopping,Reward Points,"Get 500 SuperCoins on card activation, a year Lenskart Gold membership, and a free trial membership of Ganna Plus and Youtube Premium.",Axis Bank,1,0,0,0,0,0,0,0,0,200000,2
46,SpiceJet Axis Bank Voyage Credit Card,0,0,750,750,travel,Reward Points,"SpiceJet flight voucher of Rs. 1,500 on completion of 2 transactions with 30 days of the card issuance.",Axis Bank,0,1,0,0,0,0,0,0,0,inf,2
47,SpiceJet Axis Bank Voyage Black Credit Card,0,0,2000,2000,travel,Reward Points,"Get a SpiceJet flight voucher worth Rs. 4,000 and complimentary Spiceclub Gold membership.",Axis Bank,0,1,0,0,0,0,0,0,0,inf,5
48,Axis Bank Burgundy Private Credit Card,12000000,12000000,50000,50000,movies | travel | dining,Reward Points,Nil,Axis Bank,0,1,1,1,0,0,0,0,0,inf,1
49,BOBCARD Premier Credit Card,720000,720000,1000,1000,travel | dining,Reward Points,"500 Reward Points on Spends of ₹5,000 or More in the First 60 Days of Card Issuance",Bank Of Baroda,0,1,1,0,0,0,0,0,0,120000,1
50,BOBCARD Easy Credit Card,300000,300000,500,500,shopping | food,Reward Points,"500 Reward Points on Spends of ₹5,000 Within 60 Days of Card Issuance",Bank Of Baroda,1,0,0,0,0,1,0,0,0,35000,1
51,BOBCARD Select Credit Card,300000,300000,750,750,shopping,Reward Points,"500 Reward Points on Spends of ₹5,000 or More Within 60 Days of Card Issuance",Bank Of Baroda,1,0,0,0,0,0,0,0,0,70000,1
52,BOBCARD Tiara Credit Card,720000,720000,2499,2499,travel | shopping | food,Reward Points,"Free Swiggy One (3 Months), FitPass Pro, Amazon Prime/Disney Hotstar and Gaana Plus Memberships",Bank Of Baroda,1,1,0,0,0,1,0,0,0,inf,4
53,IRCTC RuPay BOBCARD Credit Card,360000,360000,500,350,travel,Reward Points,"500 Bonus Reward Points on Spending ₹5,000 Within the First 60 Days of Card Issuance",Bank Of Baroda,0,1,0,0,0,0,0,0,0,inf,1
54,HPCL ENERGIE BOBCARD Credit Card,360000,360000,499,499,fuel | shopping,Reward Points,"500 Bonus Reward Points On Spending ₹5,000 or More Within 60 Days of Card Issuance",Bank Of Baroda,1,0,0,0,1,0,0,0,0,inf,1
55,BOBCARD ETERNA Credit Card,1200000,1200000,2499,2499,travel | shopping,Reward Points,"6-month FitPass Pro membership worth Rs. 15,000 and 10,000 bonus reward points.",Bank Of Baroda,1,1,0,0,0,0,0,0,0,250000,9
56,SNAPDEAL BOBCARD Credit Card,360000,360000,249,249,shopping,Reward Points,Get a Snapdeal gift voucher worth up to Rs. 500 as a welcome benefit.,Bank Of Baroda,1,0,0,0,0,0,0,0,0,inf,1
57,HDFC Bank Millennia Credit Card,300000,600000,1000,1000,shopping,Cashback,"1,000 CashPoints",HDFC,1,0,0,0,0,0,0,0,0,100000,2
58,Swiggy HDFC Bank Credit Card,180000,600000,500,500,dining | food,Cashback,Complimentary 3-Month Swiggy One Membership,HDFC,0,0,1,0,0,1,0,0,0,50000,1
59,HDFC Bank Regalia Gold Credit Card,1200000,1800000,2500,2500,travel | shopping,Reward Points,"Voucher Worth ₹2,500",HDFC,1,1,0,0,0,0,0,0,0,400000,4
60,Tata Neu Infinity HDFC Bank Credit Card,1200000,1200000,1499,1499,travel | shopping,Reward Points,"1,499 NeuCoins on Tata Neu App",HDFC,1,1,0,0,0,0,0,0,0,300000,2
61,Tata Neu Plus HDFC Bank Credit Card,300000,600000,499,499,shopping,Reward Points,499 NeuCoins,HDFC,1,0,0,0,0,0,0,0,0,150000,1
62,HDFC Bank RuPay IRCTC Credit Card,0,0,500,500,travel,Reward Points,Amazon voucher worth Rs. 500 on making the first transaction within the first 30 days.,HDFC,0,1,0,0,0,0,0,0,0,50000,1
63,Shoppers Stop HDFC Bank Credit Card,240000,600000,299,299,shopping,Reward Points,Shoppers Stop Voucher Worth ₹500 and Complimentary Shoppers Stop Silver Edge Membership,HDFC,1,0,0,0,0,0,0,0,0,50000,1
64,HDFC Bank MoneyBack Plus Credit Card,300000,600000,500,500,shopping,Reward Points,500 CashPoints,HDFC,1,0,0,0,0,0,0,0,0,50000,1
65,Marriott Bonvoy HDFC Bank Credit Card,1200000,1500000,3000,3000,travel | shopping | stays,Reward Points,Free Night Award Valid for One Year at Marriott Hotels. Silver Elite Status in the Marriott Bonvoy Program,HDFC,1,1,0,0,0,0,0,1,0,400000,5
66,HDFC Bank Diners Club Black Metal Edition Credit Card,2100000,2100000,10000,10000,travel | dining | shopping,Reward Points,"Complimentary Membership of Club Marriott, Swiggy One and Amazon Prime (On Spends of Rs. 1.5 Lakh Within 90 Days of Card Issuance)",HDFC,1,1,1,0,0,0,0,0,0,800000,5
67,HDFC Bank INFINIA Metal Credit Card,0,0,12500,12500,travel | dining | shopping,Reward Points,"Welcome bonus of 12,500 Reward Points and complimentary Club Marriott membership for the first year offering 20% discounts on dining and stay in the Asia-Pacific region.",HDFC,1,1,1,0,0,0,0,0,0,1000000,5
68,HDFC Bank Diners Club Privilege Credit Card,840000,840000,1000,1000,movies | travel | food,Reward Points,Complimentary Membership of Swiggy One & Times Prime,HDFC,0,1,0,1,0,1,0,0,0,300000,2
69,Shoppers Stop Black HDFC Bank Credit Card,360000,600000,4500,4500,travel | shopping,Reward Points,"Shoppers Stop Vouchers Worth ₹4,500 and Complimentary Shoppers Stop Black Membership (Worth ₹4,500)",HDFC,1,1,0,0,0,0,0,0,0,100000,7
70,HDFC Bank Freedom Credit Card,144000,200000,500,500,shopping,Reward Points,500 CashPoints,HDFC,1,0,0,0,0,0,0,0,0,50000,1
71,6E Rewards XL - IndiGo HDFC Bank Credit Card,1440000,1440000,1500,1500,travel,Reward Points,One complimentary flight ticket worth Rs. 3000 and 6E Prime Add-On.,HDFC,0,1,0,0,0,0,0,0,0,300000,5
72,6E Rewards - IndiGo HDFC Bank Credit Card,240000,600000,500,500,travel,Reward Points,"1 complimentary 6E Prime add-on with priority check-in, complimentary meal, quicker baggage, choice of seat, etc.",HDFC,0,1,0,0,0,0,0,0,0,75000,1
73,IndianOil HDFC Bank Credit Card,120000,600000,500,500,fuel,Reward Points,,HDFC,0,0,0,0,1,0,0,0,0,50000,0
74,HDFC Bank Diners Club Black Credit Card,3000000,3000000,10000,10000,travel | dining | shopping,Reward Points,"Get complimentary annual membership of Forbes, Club Marriott, Times Prime, MMT Black, Amazon Prime, and Swiggy One (3 Months) on spending Rs. 1,50,000 or more in the first 90 days of card issuance",HDFC,1,1,1,0,0,0,0,0,0,800000,5
75,HDFC Bank Pixel Play Credit Card,300000,600000,0,0,shopping,Cashback,,HDFC,1,0,0,0,0,0,0,0,0,0,0
76,HDFC Bank Pixel Go Credit Card,96000,600000,250,250,shopping,Cashback,,HDFC,1,0,0,0,0,0,0,0,0,50000,0
77,HDFC Bank Harley Davidson Diners Club Credit Card,0,0,2500,2500,movies | shopping,Reward Points,"Annual Membership of Swiggy One, Times Now, and Harley Vouchers Worth ₹750 on Spending ₹75,000 in the First 90 Days of Card Issuance",HDFC,1,0,0,1,0,0,0,0,0,100000,4
78,HDFC Bank H.O.G Diners Club Credit Card,0,0,10000,10000,travel | shopping | food,Reward Points,"Three Month Swiggy One Membership, Annual Memberships of Club Marriott, Amazon Prime, Forbes, and MMT Black and Harley Vouchers Worth ₹2,500",HDFC,1,1,0,0,0,1,0,0,0,100000,6
79,HDFC Bank Regalia First Credit Card,1200000,1200000,1000,1000,travel | shopping,Reward Points,"1,000 Reward Points on payment of the annual fee.",HDFC,1,1,0,0,0,0,0,0,0,100000,1
80,HDFC Bank Regalia Credit Card,840000,840000,2500,2500,travel | shopping,Reward Points,"2,500 bonus Reward points",HDFC,1,1,0,0,0,0,0,0,0,300000,1
81,HDFC Bank Bharat Credit Card,240000,200000,500,500,shopping,Reward Points,,HDFC,1,0,0,0,0,0,0,0,0,50000,0
82,HDFC Bank Easy EMI Credit Card,120000,600000,500,500,shopping,Reward Points,500 CashPoints,HDFC,1,0,0,0,0,0,0,0,0,50000,1
83,HDFC Bank Solitaire Credit Card,0,0,500,500,shopping,Reward Points,A free wellness package from Thyrocare.,HDFC,1,0,0,0,0,0,0,0,0,50000,1
84,HDFC Bank Diners Club Premium Credit Card,720000,720000,2500,2500,travel,Reward Points,"2,500 bonus Reward Points",HDFC,0,1,0,0,0,0,0,0,0,300000,1
85,HDFC Bank Diners Club Miles Credit Card,360000,360000,1000,1000,travel,Reward Points,"1,000 Reward Points on settling the renewal membership fee.",HDFC,0,1,0,0,0,0,0,0,0,100000,1
86,HDFC Bank Diners Club Rewardz Credit Card,360000,360000,1000,1000,travel,Reward Points,"1,000 Reward Points",HDFC,0,1,0,0,0,0,0,0,0,50000,1
87,Paytm HDFC Bank Select Credit Card,0,0,1000,1000,shopping,Cashback,,HDFC,1,0,0,0,0,0,0,0,0,150000,0
88,Paytm HDFC Bank Credit Card,0,0,500,500,shopping,Reward Points,,HDFC,1,0,0,0,0,0,0,0,0,50000,0
89,Paytm HDFC Bank Mobile Credit Card,0,0,149,149,shopping,Reward Points,,HDFC,1,0,0,0,0,0,0,0,0,50000,0
